词,拼音,用途
微信,wēi xìn,最常用的聊天软件
语音通话,yǔ yīn tōng huà,按住说话，像对讲机
视频通话,shì pín tōng huà,能看见人脸的通话
接听,jiē tīng,电话响了，按绿色键
挂断,guà duàn,按红色键，就挂了
免提,miǎn tí,声音外放，不用贴耳朵
消息,xiāo xi,别人发来的话
发照片,fā zhào piàn,把相册里的图发给儿女
发红包,fā hóng bāo,过年过节发个吉利钱
收款码,shōu kuǎn mǎ,你的码，别人扫了给你钱
付款码,fù kuǎn mǎ,结账时给店家扫的码
朋友圈,péng yǒu quān,大家晒生活的地方
点赞,diǎn zàn,按个小红心，表示喜欢
无线网络,wú xiàn wǎng luò,连上它，上网不花钱
流量,liú liàng,不连网络时上网用的量
充电,chōng diàn,没电了插上线，慢慢充满
充电器,chōng diàn qì,插头带线那个
电量不足,diàn liàng bù zú,手机快没电了
通讯录,tōng xùn lù,存电话号码的地方
拨号,bō hào,打电话前按的数字键
未接来电,wèi jiē lái diàn,没接上的电话，红点提醒
锁屏,suǒ píng,屏幕黑了，就是锁上了
音量调大,yīn liàng tiáo dà,听不清，就按音量加号
字体调大,zì tǐ tiáo dà,字太小，去设置里调大
保存图片,bǎo cún tú piàn,长按照片，就能存下来
转发,zhuǎn fā,把消息发给另一个人
语音输入,yǔ yīn shū rù,说话变文字，不用打字
相册,xiàng cè,手机里存照片的地方
手电筒,shǒu diàn tǒng,晚上照亮的那个灯
关机,guān jī,长按电源键，手机休息
重启,chóng qǐ,关了再开，卡了就试试
骗子短信,piàn zi duǎn xìn,让你转账的，都是骗子
扫一扫,sǎo yī sǎo,微信里那个方框，对着码扫
验证码,yàn zhèng mǎ,短信里那串数字，谁要都别给
微信支付,wēi xìn zhī fù,结账时选这个，从微信里扣钱
零钱,líng qián,微信里的钱袋子，收的红包在这
发送,fā sòng,打完字按它，消息才发得出去
设置,shè zhì,手机里调东西的地方，齿轮图标
紧急电话,jǐn jí diàn huà,有急事，就打这些号
报警电话,bào jǐng diàn huà,遇到坏人，打110
急救电话,jí jiù diàn huà,人不行了，打120
火警电话,huǒ jǐng diàn huà,着火了，打119
家人电话,jiā rén diàn huà,儿女电话，存手机里
二维码,èr wéi mǎ,小方块的图，手机扫它付钱、加人
输入密码,shū rù mì mǎ,屏幕上让按那几个数字
请勿透露密码,qǐng wù tòu lù mì mǎ,银行贴着，密码谁问都别说
官方客服,guān fāng kè fú,手机弹窗里的真客服，别信外面来的电话
转账,zhuǎn zhàng,把钱打给别人，按之前看清楚
余额,yú é,卡里、微信里还剩多少钱
新建联系人,xīn jiàn lián xì rén,把别人的号码存进手机
静音模式,jìng yīn mó shì,开了它，电话来了不响
勿扰模式,wù rǎo mó shì,开了它，夜里不被吵醒
亮度,liàng dù,屏幕的亮暗，太阳底下调亮点
飞行模式,fēi xíng mó shì,开了它不能打电话，坐飞机才用
清理垃圾,qīng lǐ lā jī,手机提示时按它，手机能快点
内存不足,nèi cún bù zú,手机装满了，要删掉些东西
应用商店,yìng yòng shāng diàn,装新软件的地方
下载,xià zài,把东西装进手机里
更新,gēng xīn,软件出新版了，按一下装好
